,name,company,year,Price,kms_driven,fuel_type,price
0,HyundaiSantroXing,Hyundai,2007,"80,000",45000,Petrol,80000
1,MahindraJeepCL550,Mahindra,2006,"4,25,000",40,Diesel,425000
2,HyundaiGrandi10,Hyundai,2014,"3,25,000",28000,Petrol,325000
3,FordEcoSportTitanium,Ford,2014,"5,75,000",36000,Diesel,575000
4,FordFigo,Ford,2012,"1,75,000",41000,Diesel,175000
5,HyundaiEon,Hyundai,2013,"1,90,000",25000,Petrol,190000
6,FordEcoSportAmbiente,Ford,2016,"8,30,000",24530,Diesel,830000
7,MarutiSuzukiAlto,Maruti,2015,"2,50,000",60000,Petrol,250000
8,SkodaFabiaClassic,Skoda,2010,"1,82,000",60000,Petrol,182000
9,MarutiSuzukiStingray,Maruti,2015,"3,15,000",30000,Petrol,315000
10,HyundaiElitei20,Hyundai,2014,"4,15,000",32000,Petrol,415000
11,MahindraScorpioSLE,Mahindra,2015,"3,20,000",48660,Diesel,320000
12,HyundaiSantroXing,Hyundai,2007,"80,000",45000,Petrol,80000
13,MahindraJeepCL550,Mahindra,2006,"4,25,000",40,Diesel,425000
14,AudiA8,Audi,2017,"10,00,000",4000,Petrol,1000000
15,AudiQ7,Audi,2014,"5,00,000",16934,Diesel,500000
16,MahindraScorpioS10,Mahindra,2016,"3,50,000",43000,Diesel,350000
17,MarutiSuzukiAlto,Maruti,2014,"1,60,000",35550,Petrol,160000
18,MahindraScorpioS10,Mahindra,2016,"3,50,000",43000,Diesel,350000
19,MahindraScorpioS10,Mahindra,2016,"3,10,000",39522,Diesel,310000
20,MarutiSuzukiAlto,Maruti,2015,"75,000",39000,Petrol,75000
21,Hyundaii20Sportz,Hyundai,2012,"1,00,000",55000,Petrol,100000
22,Hyundaii20Sportz,Hyundai,2012,"1,00,000",55000,Petrol,100000
23,Hyundaii20Sportz,Hyundai,2012,"1,00,000",55000,Petrol,100000
24,MarutiSuzukiAlto,Maruti,2017,"1,90,000",72000,Petrol,190000
25,MarutiSuzukiVitara,Maruti,2016,"2,90,000",15975,Diesel,290000
26,MarutiSuzukiAlto,Maruti,2008,"95,000",70000,Petrol,95000
27,MahindraBoleroDI,Mahindra,2017,"1,80,000",23452,Diesel,180000
28,MarutiSuzukiSwift,Maruti,2014,"3,85,000",35522,Diesel,385000
29,MahindraScorpioS10,Mahindra,2015,"2,50,000",48508,Diesel,250000
30,MarutiSuzukiSwift,Maruti,2017,"1,80,000",15487,Petrol,180000
31,MarutiSuzukiWagon,Maruti,2013,"1,05,000",39000,Petrol,105000
32,MarutiSuzukiWagon,Maruti,2013,"1,05,000",39000,Petrol,105000
33,ToyotaInnova2.0,Toyota,2012,"6,50,000",82000,Diesel,650000
34,RenaultLodgy85,Renault,2018,"6,89,999",20000,Diesel,689999
35,SkodaYetiAmbition,Skoda,2012,"4,48,000",68000,Diesel,448000
36,MarutiSuzukiBaleno,Maruti,2017,"5,49,000",32000,Diesel,549000
37,RenaultDuster110,Renault,2012,"5,01,000",38000,Diesel,501000
38,RenaultDuster85,Renault,2013,"4,89,999",27000,Diesel,489999
39,HondaCity1.5,Honda,2011,"2,80,000",33000,Petrol,280000
40,MarutiSuzukiAlto,Maruti,2015,"2,50,000",60000,Petrol,250000
41,MarutiSuzukiDzire,Maruti,2013,"3,49,999",46000,Diesel,349999
42,HondaAmaze,Honda,2013,"2,84,999",46000,Diesel,284999
43,HondaAmaze1.5,Honda,2015,"3,45,000",36000,Diesel,345000
44,HondaCity,Honda,2015,"4,99,999",55000,Petrol,499999
45,DatsunRediGO,Datsun,2017,"2,35,000",16000,Petrol,235000
46,MarutiSuzukiSX4,Maruti,2010,"2,49,999",36000,Petrol,249999
47,MitsubishiPajeroSport,Mitsubishi,2015,"14,75,000",47000,Diesel,1475000
48,MahindraBoleroDI,Mahindra,2017,"1,80,000",23452,Diesel,180000
49,MarutiSuzukiSwift,Maruti,2014,"3,85,000",35522,Diesel,385000
50,MahindraScorpioS10,Mahindra,2015,"2,50,000",48508,Diesel,250000
51,MarutiSuzukiSwift,Maruti,2017,"1,80,000",15487,Petrol,180000
52,MarutiSuzukiWagon,Maruti,2013,"1,05,000",39000,Petrol,105000
53,MarutiSuzukiWagon,Maruti,2013,"1,05,000",39000,Petrol,105000
54,MahindraScorpioS10,Mahindra,2015,"3,95,000",35000,Diesel,395000
55,MarutiSuzukiSwift,Maruti,2017,"2,20,000",30874,Petrol,220000
56,HondaCityZX,Honda,2017,"1,70,000",15000,Diesel,170000
57,MarutiSuzukiWagon,Maruti,2013,"85,000",29685,Petrol,85000
58,FordFigo,Ford,2012,"1,75,000",41000,Diesel,175000
59,HyundaiEon,Hyundai,2013,"1,90,000",25000,Petrol,190000
60,TataIndigoeCS,Tata,2017,"2,00,000",130000,Diesel,200000
61,FordEcoSportAmbiente,Ford,2016,"8,30,000",24530,Diesel,830000
62,TataIndigoeCS,Tata,2017,"2,00,000",130000,Diesel,200000
63,MahindraScorpioSLE,Mahindra,2012,"5,70,000",19000,Diesel,570000
